Step,Heads Pruned,Time_AE_sec,Time_Random_sec,Time_AE_Inverse_sec
1,12,6.976632347999839,6.852638144977391,6.781329841003753
2,24,6.674145090015372,6.664249039982678,6.596187444025418
3,36,6.490782717010006,6.531572331005009,6.463933671999257
4,48,6.349698505975539,6.369408682978246,6.33769197500078
5,60,6.2158278900024015,6.238367867976194,6.181540827994468
6,72,6.0416051400243305,6.041980156995123,6.005596178001724
7,84,5.856240496999817,5.863521980005316,5.822975896997377
8,96,5.680787133984268,5.694842496013735,5.632347392005613
9,108,5.5505714190076105,5.566548012982821,5.510147680994123
10,120,5.391901928989682,5.38608190199011,5.347671244991943
11,132,5.206002179009374,5.214051793998806,5.155666681996081
12,144,4.958038137992844,4.943315146985697,4.903075794019969
