Step,Heads Pruned,Time_AE_sec,Time_Random_sec,Time_AE_Inverse_sec
1,12,4.224391716998071,4.222862124996027,4.206167439027922
2,24,4.10267016699072,4.124948276992654,4.10332258802373
3,36,4.005555425013881,4.023330551979598,4.0103427470021416
4,48,3.882827617024304,3.886805504007498,3.878658812987851
5,60,3.8032652669935487,3.794287545024417,3.7868987589899916
6,72,3.724541063013021,3.7039753300196026,3.695026878005592
7,84,3.6405391420121305,3.6079069930128753,3.6088302429998294
8,96,3.485409378015902,3.484278364980128,3.4876126679882873
9,108,3.3916771240183152,3.3975708989892155,3.388030319008976
10,120,3.2900899889937136,3.294175193004776,3.2833901600097306
11,132,3.188570484984666,3.1881004959868733,3.1770673689898103
12,144,3.0375485649856278,3.032697984017432,3.0414989150012843
