Step,Heads Pruned,Time_AE_sec,Time_Random_sec,Time_AE_Inverse_sec
1,12,0.4621411690022796,0.3558962460083421,0.35876045099576004
2,24,0.3550077760010026,0.3487288430042099,0.3459240480151493
3,36,0.3327657479967456,0.3372354120074305,0.3367939169984311
4,48,0.3216368159919511,0.3228995949903037,0.317423593980493
5,60,0.3217071260150987,0.3215971470053773,0.3127000929962378
6,72,0.3139452839968726,0.3183161189954262,0.3067224050173536
7,84,0.3041909110033884,0.3137216129980515,0.3061219379887916
8,96,0.2911053239949979,0.3013096369977575,0.28909671198925935
9,108,0.2937600639997981,0.2979254209785722,0.2902796239941381
10,120,0.2854609070054721,0.2878307149803731,0.2803554290148895
11,132,0.2764420399907976,0.277971913019428,0.27098428798490204
12,144,0.2589735680085141,0.2613109899975825,0.2592648289864883
