Step,Heads Pruned,Time_AE_sec,Time_Random_sec,Time_AE_Inverse_sec
1,1,3.682909941009712,3.6760169000190217,3.679646913020406
2,2,3.6839122209930792,3.677991275006207,3.672071106993826
3,3,3.699101797014009,3.683980970003177,3.6613824579981156
4,4,3.688905621995218,3.679263655008981,3.6671310719975736
5,5,3.6894638129742816,3.680425083002774,3.6582432849972975
6,6,3.666442550020293,3.662385104020359,3.641651167010423
7,7,3.672115859022597,3.662839583004825,3.6455084980116226
8,8,3.655496083985781,3.656224096019287,3.656371217017295
9,9,3.651595695992,3.6584635929903015,3.645938208006555
10,10,3.619774899998447,3.6627832369995295,3.630717875988921
11,11,3.6313764530059416,3.6557989949942566,3.625727462989744
12,12,3.616929012001492,3.665155965019949,3.6223176530038472
13,13,3.608560135005973,3.652986868983135,3.6308000900025945
14,14,3.5994505400012717,3.64174068698776,3.620054044004064
15,15,3.594513019983424,3.6457207950006714,3.6021663439751137
16,16,3.5878321070049424,3.648592519981321,3.5969305470061954
17,17,3.578561650007032,3.6361162760003936,3.582098611019319
18,18,3.5641448220121674,3.732654118997744,3.5785906800010707
19,19,3.62780546900467,3.617499480984407,3.684381114988355
20,20,3.5405894150026143,3.623915107018547,3.569920646987157
21,21,3.540778438997222,3.620806157006882,3.5526985290052835
22,22,3.529774681985145,3.602855624019867,3.542400467005791
23,23,3.5219890879816376,3.607414547994267,3.5405838870210573
24,24,3.5278298929915763,3.582268190017203,3.5330690880073234
25,25,3.514958858984756,3.568404919991736,3.5282299920218065
26,26,3.5023483709956054,3.562792274984531,3.520404481998412
27,27,3.496876266988693,3.548251631000312,3.5049463680188637
28,28,3.4692086160066538,3.5402455180010293,3.4942361210123636
29,29,3.4880834999785293,3.529011058009928,3.483216344990069
30,30,3.4806819110235665,3.527436958014732,3.502037409984041
31,31,3.467567790998146,3.5168729949800763,3.5023324780049734
32,32,3.454174056008924,3.509450198005652,3.4841772629879415
33,33,3.445106138999108,3.506139928009361,3.465621645998908
34,34,3.425283537013456,3.487317694001831,3.4535124440153595
35,35,3.430732695996994,3.5982215850090142,3.4468359999882523
36,36,3.429824007005664,3.4797786440176424,3.448527622007532
37,37,3.4075128810072783,3.461844234989257,3.5611406860116404
38,38,3.4800309109850787,3.446973824989982,3.4291938769747503
39,39,3.405935156013584,3.440821278025396,3.4230277670139913
40,40,3.391258907999145,3.4238439469772857,3.410427841998171
41,41,3.3940908780205064,3.4102602989878505,3.401673265005229
42,42,3.3952083960175514,3.395526202977635,3.3923418589984067
43,43,3.386983128002612,3.3955961930041667,3.383802676020423
44,44,3.3822756669833325,3.384769843018148,3.3882395989785437
45,45,3.3770841479999945,3.3798862969852053,3.3720092669827864
46,46,3.366412516013952,3.360079571022652,3.3591872850083746
47,47,3.355654908984434,3.351363919005962,3.342101399990497
48,48,3.3527988590067253,3.3426816669816617,3.3387119699909817
49,49,3.339698044001125,3.3361953479761723,3.3195923040038906
50,50,3.3239774690009654,3.338869705999969,3.3158539700089023
51,51,3.329887386003975,3.319178197998553,3.3200791680137627
52,52,3.3124673340062145,3.4592022669967264,3.2970324530033395
53,53,3.2984301839896943,3.304292547982186,3.283421857020585
54,54,3.3019368950044736,3.289739322994137,3.3653531989839394
55,55,3.2819127749826293,3.282317642006092,3.2538201810093597
56,56,3.390366476000054,3.272683627990773,3.2420225249952637
57,57,3.2546237469941843,3.2645509360008877,3.243983230990125
58,58,3.2514032179897185,3.2617803030007053,3.235370185022475
59,59,3.225013507006224,3.2472531690145843,3.2226570299826562
60,60,3.22289820399601,3.232784128980711,3.2136277339886874
