Step,Heads Pruned,Time_AE_sec,Time_Random_sec,Time_AE_Inverse_sec
1,1,18.92533041900606,18.95194530801382,18.717210533010075
2,2,18.90651921898825,18.87060149098397,18.671694280026713
3,3,18.950556733994745,18.932677477016117,18.71234167998773
4,4,18.824702944024462,18.836921854002867,18.650935723009752
5,5,18.76116432098206,18.787143799010664,18.58249699001317
6,6,18.85419501599972,18.85801639399142,18.66174576600315
7,7,18.73022384100477,18.69260675398982,18.541365423006937
8,8,18.662479538994376,18.665285969997058,18.483011495991377
9,9,18.70854552698438,18.692625148018124,18.46913025897811
10,10,18.561656873003813,18.599598656001035,18.36424416900263
11,11,18.574356750992592,18.57367235099082,18.358598668011837
12,12,18.594443392998077,18.62304122300702,18.42372572098975
13,13,18.476333683996927,18.493436242977623,18.316158508998342
14,14,18.469588181003928,18.52198661401053,18.408628019999014
15,15,18.481229501980124,18.428662032005377,18.25042574899271
16,16,18.35372505101259,18.389541979006022,18.16653135800152
17,17,18.41218980198028,18.393057473993395,18.218300618987996
18,18,18.268353817984465,18.261896392999915,18.069191877002595
19,19,18.229663747013547,18.25131501298165,18.037198401027126
20,20,18.263137526984792,18.34038516000146,18.097641502012266
21,21,18.123735095985467,18.16589523400762,17.97068379400298
22,22,18.10905754598207,18.162969198980136,17.912923582014628
23,23,18.151503393019084,18.21554050399573,17.98116442601895
24,24,18.030301849008534,18.083961435011588,17.797336716001155
25,25,17.882560553000076,18.046620209002867,17.808582617988577
26,26,17.940122680010973,18.07904434300144,17.889610409998568
27,27,17.81012242299039,17.951375325996196,17.71204502301407
28,28,17.790186246013036,18.00892864301568,17.720870274992194
29,29,17.79886516201077,17.89252946700435,17.755253769020783
30,30,17.711434133991133,17.858412569010397,17.64799962300458
31,31,17.682357445009984,17.87358577598934,17.644125243008602
32,32,17.749374710023403,17.733340022008633,17.517268500989303
33,33,17.608679791999748,17.694634193001548,17.429991076001897
34,34,17.631999731005635,17.74303515101201,17.56856132298708
35,35,17.515293562988518,17.616089788003592,17.389481719001196
36,36,17.47676630501519,17.594901653006673,17.31152491600369
37,37,17.52596015902236,17.670017166994512,17.327528211986646
38,38,17.417403301980812,17.544256494002184,17.331215582991717
39,39,17.31148415498319,17.45149766598479,17.258220529998653
40,40,17.38180850900244,17.50222961200052,17.152472268004203
41,41,17.230060264992062,17.341951850015903,17.1154838950024
42,42,17.153416218003258,17.445249601994874,17.07661928399466
43,43,17.20939168697805,17.308175509009743,17.123380837001605
44,44,17.034187989018392,17.24970192500041,17.01625330100069
45,45,17.038676419993863,17.27243069402175,16.96896171499975
46,46,17.07487818802474,17.153493031975813,16.939713234984083
47,47,16.956924038997386,17.125413529982325,16.86391191498842
48,48,17.015616427990608,17.158049655990908,16.9043009239831
49,49,16.89821995899547,17.110430186003214,16.775038986001164
50,50,16.822117233008612,16.988928620994557,16.76066160699702
51,51,16.877876187994843,17.038855248014443,16.811778364994098
52,52,16.731247196992626,16.87759860197548,16.694610786013072
53,53,16.655013498995686,16.846690954000223,16.63256461400306
54,54,16.70121827899129,16.845553143997677,16.70735063398024
55,55,16.568430913990596,16.74759191699559,16.59681840299163
56,56,16.574384024977917,16.77704971699859,16.569610895006917
57,57,16.61031379099586,16.6799522540241,16.560726931027602
58,58,16.533289610000793,16.59262401101296,16.407925295003224
59,59,16.41577955201501,16.625071126007242,16.348772375000408
60,60,16.49816091702087,16.522097339999164,16.41844031997607
61,61,16.308760751999216,16.477906668005744,16.271719426993513
62,62,16.30451608399744,16.513294262986165,16.309427960019093
63,63,16.30177461198764,16.39115576900076,16.1473380959942
64,64,16.20866410099552,16.356050113972742,16.108476344001247
65,65,16.3631756399991,16.367349070991622,16.206490259995917
66,66,16.151221615000395,16.24542266697972,16.007590802008053
67,67,16.142487331992015,16.19919104099972,16.01649065699894
68,68,16.174665940983687,16.23532019602135,15.959117504011374
69,69,15.994913634000111,16.132339728996158,15.824412254005438
70,70,15.971310219989393,16.1950352860149,15.822766841010889
71,71,16.044678795005893,16.03092371299863,15.869444637995912
72,72,15.868123710999498,16.003150197997456,15.753482082975097
73,73,15.84935376700014,16.046346329007065,15.687268989015138
74,74,15.91203386898269,15.877745292003963,15.642329010996036
75,75,15.767469473998062,15.882659219991185,15.60186975900433
76,76,15.72140765399672,15.907780753012048,15.626139914005762
77,77,15.761948542000027,15.781459662975976,15.500408442982007
78,78,15.696712820004905,15.804251282010227,15.483540834015002
79,79,15.735922341002151,15.82336683801259,15.51302339200629
80,80,15.58917386099347,15.669120168982772,15.39653991299565
81,81,15.486050118022831,15.61806863200036,15.262658252991969
82,82,15.515483906987356,15.639991702017142,15.366386723995674
83,83,15.411042188003194,15.524644407996677,15.18951746300445
84,84,15.358257847023197,15.525403926003492,15.158998147991952
85,85,15.455213084002024,15.472412284987511,15.249586903024465
86,86,15.272090088023106,15.434746671991888,15.050649279990466
87,87,15.293772242002888,15.414008872001432,15.027140336984303
88,88,15.336143341002751,15.290120855992429,15.067590105027193
89,89,15.164342417992884,15.2279167129891,14.915600943000754
90,90,15.125217784981942,15.276267191016814,14.947515527979704
91,91,15.173701598017942,15.152196612994883,14.897932107996894
92,92,15.007889397995314,15.122583718999522,14.788550792989554
93,93,15.049110894004116,15.1395559090015,14.84022530799848
94,94,14.948088124016069,14.98085551901022,14.705238119000569
95,95,14.864443947997644,14.939843687985558,14.673812602006365
96,96,14.904758490010863,14.963628525991226,14.710947584011592
97,97,14.771960081008729,14.847102671978064,14.565491232002387
98,98,14.788308131013764,14.861282424011732,14.533356897009071
99,99,14.804605051002,14.770915056986269,14.541687181976158
100,100,14.744551139010582,14.713824536011089,14.475345975981327
101,101,14.596955190005248,14.74698404801893,14.494006507011363
102,102,14.655862407002132,14.635161398997298,14.492971239000326
103,103,14.523414569004672,14.582044604991095,14.322221683978569
104,104,14.468735375005052,14.61318319599377,14.335694031993626
105,105,14.50997725201887,14.50429493901902,14.224404164997395
106,106,14.377097081014654,14.45320836600149,14.166399181005545
107,107,14.400142650003543,14.510628561023625,14.25644566299161
108,108,14.29980377200991,14.412741667998487,14.128045037999982
109,109,14.22826308902586,14.325972562975949,14.065506433020346
110,110,14.248681799974293,14.34433166499366,14.123349513974972
111,111,14.114410804002546,14.277608907985268,13.966872441000305
112,112,14.089067659981083,14.214678024000024,13.930904993991135
113,113,14.104254793986913,14.135097930004122,13.94809388500289
114,114,14.008492691995343,14.067367992014624,13.860346141998889
115,115,13.959598101995653,14.085978772985982,13.853242359007709
116,116,14.006214032997375,13.9622878950031,13.757586388004711
117,117,13.886762238980737,13.899366902012844,13.71368521900149
118,118,13.78979181800969,13.930437864997655,13.792014943988761
119,119,13.841648732020984,13.859942078997848,13.681175765988883
120,120,13.705474011978367,13.779148455010729,13.629345684981672
121,121,13.77395361600793,13.843257257976802,13.658201709011337
122,122,13.676074461982353,13.682066392997513,13.53721326799132
123,123,13.592984212009467,13.63473328400869,13.478870680002728
124,124,13.644679671997435,13.64170804899186,13.495510762004415
125,125,13.511720130976755,13.566389804007486,13.38815678699757
126,126,13.49371102801524,13.627232559025288,13.35268797801109
127,127,13.463412298006006,13.482549697015202,13.392467953002779
128,128,13.339038719015662,13.370084967988078,13.242537489015376
129,129,13.301026461995209,13.441125327022746,13.25149702100316
130,130,13.358548666001298,13.283502439007862,13.128328932012664
131,131,13.1764106299961,13.254136033996474,13.11464393598726
132,132,13.166791461000685,13.298745059000794,13.172078223986318
133,133,13.168552589020692,13.163394548988435,12.97368116499274
134,134,13.056151335011236,13.135184079001192,12.961374556005467
135,135,13.083817769016605,13.118825978017412,12.943852526979754
136,136,12.966327556001488,12.981647781998618,12.780652551999083
137,137,12.905510643991876,12.94330689799972,12.795975359011209
138,138,12.954552082985174,12.94215881699347,12.905979636008851
139,139,12.795326917024797,12.799902966013178,12.672288130008383
140,140,12.77023602600093,12.847472285007823,12.58828549599275
141,141,12.81741849699756,12.709850454994012,12.611980495013995
142,142,12.659729081002297,12.638180723006371,12.521781066025142
143,143,12.615629695996176,12.651934105990222,12.575334630993893
144,144,12.624033261003206,12.540605287998916,12.367449623008724
