Step,Heads Pruned,Time_Gnorm_sec,Time_Taylor_sec,Time_Attr_sec
1,12,8.850224316003732,9.228583490941674,24.436563903000206
2,24,8.647616893053055,9.042194818961434,23.928262984962203
3,36,8.430524289957248,8.823491791030392,23.243044698960148
4,48,8.265041523030959,8.619989900966175,22.770489669055678
5,60,8.038683900958858,8.42044316988904,21.984711424913257
6,72,7.836596507928334,8.215191144961864,21.503984619048424
7,84,7.642079483019188,7.961050258018076,20.77979611698538
8,96,7.421262566000223,7.759707149933092,20.21966970595531
9,108,7.2551410250598565,7.571643597097136,19.526201211032458
10,120,7.040454817004502,7.322270389995538,19.005363172036596
11,132,6.793374895001762,7.067633979022503,18.335454905987717
12,144,6.5041383360512555,6.772248205030337,17.525435206014663
Total,All,92.72565984900575,96.80495298199821,253.25993615901098
