Step,Heads Pruned,Time_Gnorm_sec,Time_Taylor_sec,Time_Attr_sec
1,12,6.5122841011034325,6.980103434063494,27.238081667921506
2,24,6.366483235964552,6.95842156605795,26.695242441026494
3,36,6.17640106996987,6.649104620097205,25.797233502962627
4,48,6.030881166923791,6.469002797966823,25.197718283045106
5,60,5.8593315039761364,6.297814775025472,24.41708142904099
6,72,5.708547792979516,6.1596907110651955,23.66592150402721
7,84,5.5358349500456825,5.96609488397371,22.891092089936137
8,96,5.394819920998998,5.79323823901359,22.199752537999302
9,108,5.228327007032931,5.663991814944893,21.337296787067316
10,120,5.072598575032316,5.471371604013257,20.709486441104673
11,132,4.9064066329738125,5.2638677100185305,19.85652783792466
12,144,4.667991308961064,5.002700060023926,19.203820509952493
Total,All,67.46036129305139,72.67589055805001,279.2103735629935
