Step,Heads Pruned,Time_Gnorm_sec,Time_Taylor_sec,Time_Attr_sec
1,12,1.71969573199749,1.5655083309393376,9.789686493924819
2,24,1.2617622369434685,1.5187486599897966,9.62393983406946
3,36,1.2234992400044575,1.4641534419497475,9.341154953930527
4,48,1.1936077809659764,1.4393581779440865,9.143694699043408
5,60,1.166995752020739,1.3864392830291763,8.806778199970722
6,72,1.1429130900651217,1.3604332050308585,8.76310729701072
7,84,1.1234473190270364,1.3347654290264472,8.441978952032514
8,96,1.089553816942498,1.3026374679757282,8.229451624909416
9,108,1.0606325919507071,1.2654580610105768,7.963882491923869
10,120,1.0327230909606442,1.2350231079617515,7.789304485893808
11,132,1.0008189500076696,1.212096806964837,7.52026164799463
12,144,0.9668626099592075,1.200519602978602,7.311830408987589
Total,All,13.982867722050287,16.28548032208346,102.72626353497617
