Step,Heads Pruned,Time_Gnorm_sec,Time_Taylor_sec,Time_Attr_sec
1,1,10.19479225401301,1.3302120129810646,8.826931799994782
2,2,10.127685304032639,1.3281879549613222,8.83265090698842
3,3,10.086606689961627,1.346621171105653,8.81928108795546
4,4,10.069566214107908,1.3707907819189131,8.779317309963517
5,5,10.044026622897945,1.3607913390733302,8.785731227020733
6,6,10.041218035970815,1.3669282660121098,8.758628375013359
7,7,10.023690887028351,1.3496230230666697,8.735105299972929
8,8,10.099640480009839,1.3526154840365052,8.720330943004228
9,9,9.990829027025029,1.351908641983755,8.708295349031687
10,10,9.963610148988664,1.3624000790296122,8.66885826503858
11,11,9.93548399710562,1.3655353499343619,8.648403445025906
12,12,9.929198330966756,1.3540081180399284,8.649661869974807
13,13,9.917538707959466,1.3445017560152337,8.62667472101748
14,14,9.898595054983161,1.3526916339760646,8.602136477013119
15,15,9.872664676979184,1.3628619599621743,8.576524405973032
16,16,9.849078629980795,1.3560405550524592,8.553493206040002
17,17,9.83680547401309,1.3659933179151267,8.550121053005569
18,18,9.808589505031705,1.371384910074994,8.53065848397091
19,19,9.777758750016801,1.3782636009855196,8.521589427953586
20,20,9.754303197027184,1.3496162720257416,8.512608779943548
21,21,9.732701214030385,1.3492297090124339,8.486488779890351
22,22,9.7031221910147,1.3548748079920188,8.474732958944514
23,23,9.679073796025477,1.34998695703689,8.4511396860471
24,24,9.64070361002814,1.3388250790303573,8.414814220974222
25,25,9.632293367991224,1.3452659599715844,8.401939412928186
26,26,9.631690973998047,1.3447412860114127,8.386594646028243
27,27,9.57020424399525,1.3477296590572223,8.357373232021928
28,28,9.549939481075853,1.3378696179715917,8.346476746024564
29,29,9.52363302197773,1.3322686329483986,8.329984704963863
30,30,9.516377141000703,1.3222635360434651,8.294840104994364
31,31,9.461895173066296,1.324192170985043,8.281596841989085
32,32,9.465904856915586,1.318224349990487,8.268365210969932
33,33,9.443303285981528,1.306245613959618,8.220250732032582
34,34,9.409599290927872,1.328458943986334,8.19983461603988
35,35,9.368946345057338,1.3021934600546956,8.182264376082458
36,36,9.348048971965909,1.3907034849980846,8.144679520977661
37,37,9.327804691973142,1.3058530678972602,8.136302812956274
38,38,9.301571086980402,1.2992432450409979,8.129669022979215
39,39,9.291955472901464,1.2861977919237688,8.1155299450038
40,40,9.26266474602744,1.2886079190066084,8.08614537701942
41,41,9.247187168919481,1.2792567600263283,8.073114899918437
42,42,9.217903279932216,1.274104101001285,8.135036100051366
43,43,9.209232465946116,1.282771448022686,8.041703309980221
44,44,9.197565124952234,1.2751587770180777,8.024468797957525
45,45,9.152277111075819,1.2670737720327452,7.9997633550083265
46,46,9.12058280792553,1.2627751779509708,7.978394348057918
47,47,9.109587246086448,1.2541001660283655,7.950309545034543
48,48,9.088242361089215,1.2504020939813927,7.927269255975261
49,49,9.068861273000948,1.2370495019713417,7.912547669955529
50,50,9.046596971922554,1.2519925030646846,7.895460822037421
51,51,9.018738263985142,1.2394130500033498,7.859279058058746
52,52,9.078602354973555,1.2346056170063093,7.837273363023996
53,53,8.985396662028506,1.2352472270140424,7.825467196991667
54,54,8.94785125402268,1.2355688029201701,7.785592584987171
55,55,8.927422948065214,1.2319624889642,7.776498137973249
56,56,8.894865085021593,1.2159218119923025,7.753983430098742
57,57,8.87986322492361,1.214854883030057,7.749525944003835
58,58,8.853546165977605,1.2210782459005713,7.715795230004005
59,59,8.831858015037142,1.2116454610368237,7.693934928975068
60,60,8.798726173001342,1.2070642000762746,7.655290154041722
61,61,8.79479444003664,1.2102486479561776,7.645322622032836
62,62,8.755417509004474,1.1956599099794403,7.610127730993554
63,63,8.726575601962395,1.1951625179499388,7.598281190032139
64,64,8.704160955967382,1.1969878498930484,7.560865033068694
65,65,8.68102356302552,1.1917911969358101,7.525995686999522
66,66,8.63671723101288,1.1804002639837563,7.499248640961014
67,67,8.62041292595677,1.1780306650325656,7.483191714040004
68,68,8.585808461997658,1.1850646249949932,7.44045694405213
69,69,8.563631357974373,1.1864954750053585,7.665204874007031
70,70,8.571380086010322,1.1905377210350707,7.414031641907059
71,71,8.501288314000703,1.2599437589524314,7.387765306979418
72,72,8.48005590599496,1.166630731895566,7.363364591030404
73,73,8.448984595015645,1.1611190270632505,7.362665542052127
74,74,8.435592339024879,1.1507692791055888,7.33668371103704
75,75,8.423062021029182,1.1444748749490827,7.308526515029371
76,76,8.406516090966761,1.143572206958197,7.292353049968369
77,77,8.370958250947297,1.1278685560682788,7.309002342983149
78,78,8.358281747088768,1.1346150470199063,7.262521042954177
79,79,8.361681682989001,1.1347258989699185,7.320496913976967
80,80,8.321170432958752,1.1250175850000232,7.21029564703349
