Architecture,GLUE Task,Prune Ratio,Actual Heads Pruned,Num Runs/Seeds,Greedy-Gnorm Mean,Greedy-Gnorm SD,Greedy-Gnorm (Mean +/- SD),Taylor Importance Mean,Taylor Importance SD,Taylor Importance (Mean +/- SD),Self-Attention Attribution Mean,Self-Attention Attribution SD,Self-Attention Attribution (Mean +/- SD)
BERT,SST2,0% (Baseline),0,4,0.9243,0.0,0.9243 ± 0.0000,0.9243,0.0,0.9243 ± 0.0000,0.9243,0.0,0.9243 ± 0.0000
BERT,SST2,25% Pruned,36,4,0.9214,0.0007,0.9214 ± 0.0007,0.9266,0.0019,0.9266 ± 0.0019,0.922,0.0026,0.9220 ± 0.0026
BERT,SST2,50% Pruned,72,4,0.9014,0.0039,0.9014 ± 0.0039,0.9057,0.0025,0.9057 ± 0.0025,0.9123,0.0044,0.9123 ± 0.0044
BERT,SST2,75% Pruned,108,4,0.8438,0.0221,0.8438 ± 0.0221,0.8647,0.0025,0.8647 ± 0.0025,0.8452,0.0041,0.8452 ± 0.0041
BERT,MNLI,0% (Baseline),0,4,0.8458,0.0,0.8458 ± 0.0000,0.8458,0.0,0.8458 ± 0.0000,0.8458,0.0,0.8458 ± 0.0000
BERT,MNLI,25% Pruned,36,4,0.8287,0.0019,0.8287 ± 0.0019,0.8422,0.0016,0.8422 ± 0.0016,0.8359,0.0001,0.8359 ± 0.0001
BERT,MNLI,50% Pruned,72,4,0.7942,0.002,0.7942 ± 0.0020,0.8225,0.0012,0.8225 ± 0.0012,0.8066,0.0005,0.8066 ± 0.0005
BERT,MNLI,75% Pruned,108,4,0.5784,0.0025,0.5784 ± 0.0025,0.7386,0.0031,0.7386 ± 0.0031,0.695,0.0054,0.6950 ± 0.0054
BERT,QNLI,0% (Baseline),0,4,0.9154,0.0,0.9154 ± 0.0000,0.9154,0.0,0.9154 ± 0.0000,0.9154,0.0,0.9154 ± 0.0000
BERT,QNLI,25% Pruned,36,4,0.9067,0.0005,0.9067 ± 0.0005,0.9121,0.0013,0.9121 ± 0.0013,0.9033,0.0037,0.9033 ± 0.0037
BERT,QNLI,50% Pruned,72,4,0.8426,0.0041,0.8426 ± 0.0041,0.8794,0.0015,0.8794 ± 0.0015,0.8205,0.0068,0.8205 ± 0.0068
BERT,QNLI,75% Pruned,108,4,0.5378,0.0063,0.5378 ± 0.0063,0.7564,0.0057,0.7564 ± 0.0057,0.5407,0.029,0.5407 ± 0.0290
RoBERTa,SST2,0% (Baseline),0,4,0.9404,0.0,0.9404 ± 0.0000,0.9404,0.0,0.9404 ± 0.0000,0.9404,0.0,0.9404 ± 0.0000
RoBERTa,SST2,25% Pruned,36,4,0.9286,0.0046,0.9286 ± 0.0046,0.9389,0.0014,0.9389 ± 0.0014,0.9395,0.0017,0.9395 ± 0.0017
RoBERTa,SST2,50% Pruned,72,4,0.8678,0.0197,0.8678 ± 0.0197,0.918,0.002,0.9180 ± 0.0020,0.9197,0.0021,0.9197 ± 0.0021
RoBERTa,SST2,75% Pruned,108,4,0.5748,0.0161,0.5748 ± 0.0161,0.8423,0.0106,0.8423 ± 0.0106,0.8741,0.0067,0.8741 ± 0.0067
RoBERTa,MNLI,0% (Baseline),0,4,0.881,0.0,0.8810 ± 0.0000,0.881,0.0,0.8810 ± 0.0000,0.881,0.0,0.8810 ± 0.0000
RoBERTa,MNLI,25% Pruned,36,4,0.8541,0.0009,0.8541 ± 0.0009,0.8759,0.0003,0.8759 ± 0.0003,0.8737,0.0,0.8737 ± 0.0000
RoBERTa,MNLI,50% Pruned,72,4,0.7951,0.0052,0.7951 ± 0.0052,0.8498,0.0024,0.8498 ± 0.0024,0.751,0.0063,0.7510 ± 0.0063
RoBERTa,MNLI,75% Pruned,108,4,0.4769,0.0473,0.4769 ± 0.0473,0.5622,0.0053,0.5622 ± 0.0053,0.4713,0.0035,0.4713 ± 0.0035
RoBERTa,QNLI,0% (Baseline),0,4,0.9268,0.0,0.9268 ± 0.0000,0.9268,0.0,0.9268 ± 0.0000,0.9268,0.0,0.9268 ± 0.0000
RoBERTa,QNLI,25% Pruned,36,4,0.9044,0.0056,0.9044 ± 0.0056,0.9234,0.0009,0.9234 ± 0.0009,0.9173,0.0007,0.9173 ± 0.0007
RoBERTa,QNLI,50% Pruned,72,4,0.7466,0.0118,0.7466 ± 0.0118,0.8875,0.0061,0.8875 ± 0.0061,0.7633,0.0219,0.7633 ± 0.0219
RoBERTa,QNLI,75% Pruned,108,4,0.5054,0.0,0.5054 ± 0.0000,0.5099,0.0043,0.5099 ± 0.0043,0.5054,0.0,0.5054 ± 0.0000
XLM-RoBERTa,SST2,0% (Baseline),0,4,0.922,0.0,0.9220 ± 0.0000,0.922,0.0,0.9220 ± 0.0000,0.922,0.0,0.9220 ± 0.0000
XLM-RoBERTa,SST2,25% Pruned,36,4,0.9171,0.002,0.9171 ± 0.0020,0.9226,0.0007,0.9226 ± 0.0007,0.9189,0.0011,0.9189 ± 0.0011
XLM-RoBERTa,SST2,50% Pruned,72,4,0.8999,0.0014,0.8999 ± 0.0014,0.9183,0.0006,0.9183 ± 0.0006,0.9094,0.0031,0.9094 ± 0.0031
XLM-RoBERTa,SST2,75% Pruned,108,4,0.8274,0.0134,0.8274 ± 0.0134,0.8718,0.0024,0.8718 ± 0.0024,0.8483,0.0006,0.8483 ± 0.0006
XLM-RoBERTa,MNLI,0% (Baseline),0,4,0.8124,0.0,0.8124 ± 0.0000,0.8124,0.0,0.8124 ± 0.0000,0.8124,0.0,0.8124 ± 0.0000
XLM-RoBERTa,MNLI,25% Pruned,36,4,0.7855,0.0007,0.7855 ± 0.0007,0.8083,0.0005,0.8083 ± 0.0005,0.8078,0.0012,0.8078 ± 0.0012
XLM-RoBERTa,MNLI,50% Pruned,72,4,0.758,0.004,0.7580 ± 0.0040,0.7946,0.0004,0.7946 ± 0.0004,0.7646,0.0153,0.7646 ± 0.0153
XLM-RoBERTa,MNLI,75% Pruned,108,4,0.6394,0.0228,0.6394 ± 0.0228,0.6968,0.0052,0.6968 ± 0.0052,0.6185,0.0014,0.6185 ± 0.0014
XLM-RoBERTa,QQP,0% (Baseline),0,4,0.8639,0.0,0.8639 ± 0.0000,0.8639,0.0,0.8639 ± 0.0000,0.8639,0.0,0.8639 ± 0.0000
XLM-RoBERTa,QQP,25% Pruned,36,4,0.8565,0.0007,0.8565 ± 0.0007,0.8642,0.0002,0.8642 ± 0.0002,0.86,0.0007,0.8600 ± 0.0007
XLM-RoBERTa,QQP,50% Pruned,72,4,0.8384,0.0006,0.8384 ± 0.0006,0.8532,0.0009,0.8532 ± 0.0009,0.8433,0.0018,0.8433 ± 0.0018
XLM-RoBERTa,QQP,75% Pruned,108,4,0.7793,0.0085,0.7793 ± 0.0085,0.7766,0.0043,0.7766 ± 0.0043,0.7766,0.0046,0.7766 ± 0.0046
ALBERT,SST2,0% (Baseline),0,4,0.9266,0.0,0.9266 ± 0.0000,0.9266,0.0,0.9266 ± 0.0000,0.9266,0.0,0.9266 ± 0.0000
ALBERT,SST2,25% Pruned,36,4,0.8827,0.0052,0.8827 ± 0.0052,0.8796,0.0,0.8796 ± 0.0000,0.8922,0.0,0.8922 ± 0.0000
ALBERT,SST2,50% Pruned,72,4,0.7993,0.0,0.7993 ± 0.0000,0.8005,0.0,0.8005 ± 0.0000,0.6904,0.0,0.6904 ± 0.0000
ALBERT,SST2,75% Pruned,108,4,0.5103,0.0,0.5103 ± 0.0000,0.5218,0.0229,0.5218 ± 0.0229,0.4908,0.0,0.4908 ± 0.0000
ALBERT,MNLI,0% (Baseline),0,4,0.8448,0.0,0.8448 ± 0.0000,0.8448,0.0,0.8448 ± 0.0000,0.8448,0.0,0.8448 ± 0.0000
ALBERT,MNLI,25% Pruned,36,4,0.7766,0.0,0.7766 ± 0.0000,0.7776,0.0,0.7776 ± 0.0000,0.7776,0.0,0.7776 ± 0.0000
ALBERT,MNLI,50% Pruned,72,4,0.4999,0.0446,0.4999 ± 0.0446,0.5588,0.0234,0.5588 ± 0.0234,0.5156,0.0483,0.5156 ± 0.0483
