Step,Heads Pruned,Time_Static_Taylor_sec,Time_Static_AttAttr_sec
1,1,7.4238390020000224,7.422122515999945
2,2,7.254299069001718,7.242771110000831
3,3,6.971219046999977,7.041996572999778
4,4,6.823829904000377,6.91724929099837
5,5,6.7199763909993635,6.760182058000282
6,6,6.530519796999215,6.567835595000361
7,7,6.35252395399948,6.315154112999153
8,8,6.100727859000472,6.138217509000242
9,9,5.963330030999714,5.964542943000197
10,10,5.741715137000938,5.7417280150002625
11,11,5.639111337000941,5.570731391000663
12,12,5.303992006000044,5.224396757999784
Total,All,76.82637537499977,76.90759459199944
