Step,Heads Pruned,Time_Static_Taylor_sec,Time_Static_AttAttr_sec
1,1,4.284503529999711,4.259491847999016
2,2,4.153083877999961,4.150246757999412
3,3,4.066985883000598,4.0681675169998925
4,4,3.939808772998731,3.928566853999655
5,5,3.836217291000139,3.8244901039997785
6,6,3.733515706999242,3.720332401999258
7,7,3.6391750460006733,3.6501323980010056
8,8,3.5001914810000017,3.5176005200009968
9,9,3.397560823999811,3.3932633900003566
10,10,3.282228624999334,3.2752557339990744
11,11,3.1536635879983805,3.160937994000051
12,12,3.0277811880005174,3.0391637409993564
Total,All,44.015105280999705,43.989131686999826
