Step,Heads Pruned,Time_Static_Taylor_sec,Time_Static_AttAttr_sec
1,1,0.3497761990001891,0.36315296099928673
2,2,0.3318225720013288,0.33499382800073363
3,3,0.32538878500054125,0.324040651001269
4,4,0.3179254940005194,0.3117900049983291
5,5,0.31282522800029255,0.306713594998655
6,6,0.305591276000996,0.30627984600141644
7,7,0.29399965800075734,0.3000096680007118
8,8,0.2832912350004335,0.28574814400053583
9,9,0.27770606800004316,0.2789435809991119
10,10,0.2679108880001877,0.26853974199912045
11,11,0.25956771799974376,0.26055837199965026
12,12,0.24952031499924487,0.24760317000072973
Total,All,3.5758567650009354,3.5887759950001055
