Step,Heads Pruned,Time_Static_Taylor_sec,Time_Static_AttAttr_sec
1,1,3.6850398919996223,3.68351676400016
2,2,3.6878058750007767,3.684451707000335
3,3,3.6900879309996526,3.7515089429998625
4,4,3.691915429000801,3.684339644998545
5,5,3.690878971998245,3.6729990349995205
6,6,3.6970366850000573,3.664801324999644
7,7,3.676799343998937,3.675526921999335
8,8,3.66883008700097,3.686575690999234
9,9,3.662132550000024,3.675626974998522
10,10,3.6605412749995594,3.65462529800061
11,11,3.6674059509987273,3.6451432409994595
12,12,3.654890906000219,3.647744601999875
13,13,3.663639410999167,3.640827593000722
14,14,3.6600752780013863,3.628798171001108
15,15,3.6545139659992856,3.629319296000176
16,16,3.6374003199998697,3.616711779999605
17,17,3.7000149420000525,3.666513185999065
18,18,3.6391253969995887,3.595889165000699
19,19,3.6165967929991893,3.585279401000662
20,20,3.6230523479989643,3.5972423469993373
21,21,3.610280557000806,3.5829343250006787
22,22,3.607844334001129,3.5658013930005836
23,23,3.6052217349988496,3.5637604410003405
24,24,3.5970759379997617,3.567192554999565
25,25,3.5967639309983497,3.554760332999649
26,26,3.5697346550005022,3.5446420240004954
27,27,3.5587258909999946,3.540390293999735
28,28,3.552808679000009,3.5308386369997606
29,29,3.5471116120006627,3.518970236000314
30,30,3.540355343999181,3.5116157430002204
31,31,3.5273336990012467,3.5093663400002697
32,32,3.518715771000643,3.499943644999803
33,33,3.521754842999144,3.503492391000691
34,34,3.5768439229996147,3.496411555999657
35,35,3.4930711039996822,3.5489371310013667
36,36,3.476979847000621,3.480476748000001
37,37,3.4711728439997387,3.4714778720008326
38,38,3.457122685998911,3.461144744998819
39,39,3.450790546999997,3.4416276430001744
40,40,3.4311571670004923,3.4301990370004205
41,41,3.430130160000772,3.4323895670004276
42,42,3.4154308029992535,3.415094025998769
43,43,3.41106343499996,3.403647989000092
44,44,3.39452709500074,3.4006753009998647
45,45,3.3906053390001034,3.385155202999158
46,46,3.389639517999967,3.384248103999198
47,47,3.3803986290004104,3.3791916690006474
48,48,3.3675197580014355,3.3498599140002625
49,49,3.354260300999158,3.350251855999886
50,50,3.3469218439986435,3.3660159570008545
51,51,3.3973695059994498,3.328798751999784
52,52,3.317676708000363,3.395335413999419
53,53,3.303569478999634,3.3174434259999543
54,54,3.2888064259987004,3.307846099998642
55,55,3.2951009180014807,3.294603279000512
56,56,3.2798754980012745,3.28617550799936
57,57,3.2663704570004484,3.2776064360004966
58,58,3.2686953689990332,3.2576881740005774
59,59,3.2584514540012606,3.256754596000974
60,60,3.2456322490015737,3.2587688419989718
61,61,3.225223785999333,3.241084270999636
62,62,3.224369839999781,3.223384504000933
63,63,3.209723269999813,3.224103260999982
64,64,3.207074633999582,3.208400139999867
65,65,3.2000476970006275,3.186493545999838
66,66,3.1953836560005584,3.1885672620010155
67,67,3.184824459000083,3.18311356599952
68,68,3.2408359900000505,3.16547441900002
69,69,3.1670301699996344,3.215926616998331
70,70,3.1543491360007465,3.142933774000994
71,71,3.14311918400017,3.151186424000116
72,72,3.1322237929998664,3.124521408999499
73,73,3.1281421550011146,3.1125273940015177
74,74,3.113464934998774,3.1006229939994228
75,75,3.106537865000064,3.0957380080017174
76,76,3.0986882699999114,3.081949497000096
77,77,3.0832943429995794,3.0834800039992842
78,78,3.071203665000212,3.0705356190010207
79,79,3.067018203000771,3.0705399720009154
80,80,3.0533974490008404,3.0541172310004185
81,81,3.0462454549997346,3.041815520000455
82,82,3.0352633630009223,3.026636734999556
83,83,3.022927883999728,3.0216398120010126
84,84,3.01743765700121,3.0119268049984385
85,85,3.0738986910000676,2.9975877349988878
86,86,2.992853103000016,3.0614391319995775
87,87,2.981254137999713,2.9837201980008103
88,88,2.9618059639997227,2.9684162970006582
89,89,2.959488655000314,2.9750239410004724
90,90,2.9463017099988065,2.958764188000714
91,91,2.940387548000217,2.9473911349996342
92,92,2.931814139999915,2.932348608999746
93,93,2.926715069999773,2.9231382379985007
94,94,2.9105799050012138,2.915014964000875
95,95,2.9073808989996905,2.906157096998868
96,96,2.891297944001053,2.8819056169995747
97,97,2.8875325930002873,2.8729481489990576
98,98,2.8782998580009007,2.8644199110003683
99,99,2.86419850799939,2.8557875850001437
100,100,2.8547101439999096,2.836596496999846
101,101,2.8422828929997195,2.83367170999918
102,102,2.8930480430008174,2.8245464339997852
103,103,2.826313007999488,2.868769117998454
104,104,2.8185265629999776,2.8072600249997777
105,105,2.801231714000096,2.7967536080013815
106,106,2.7871003090003796,2.816212492998602
107,107,2.7776919289990474,2.7742203480011085
108,108,2.778234915998837,2.770344776001366
109,109,2.7608399900000222,2.7630088189998787
110,110,2.757490821999454,2.7465639710007963
111,111,2.744934952001131,2.7585677679999208
112,112,2.73021820699978,2.7424863679989357
113,113,2.7283196650005266,2.7272883000005095
114,114,2.7146788270001707,2.7119290299997374
115,115,2.695670989000064,2.6981847819988616
116,116,2.69774454599974,2.685139918999994
117,117,2.6935637179994956,2.6788397540003643
118,118,2.67719395200038,2.664450009000575
119,119,2.743842747000599,2.6550506009989476
120,120,2.6528842190000432,2.699644447000537
121,121,2.6400245940003515,2.640808105999895
122,122,2.636338906000674,2.632076486001097
123,123,2.6172430040005565,2.6104457410001487
124,124,2.613519249000092,2.60513645500032
125,125,2.5986644080003316,2.59463949900055
126,126,2.5900893210000504,2.583771407000313
127,127,2.5738945490011247,2.5738050300005852
128,128,2.5683784220000234,2.56624163899869
129,129,2.5542452429999685,2.550307398998484
130,130,2.550365791999866,2.5414427720006643
131,131,2.5383150039997417,2.52295490600045
132,132,2.5233692719993996,2.5265402409986564
133,133,2.5134839830006968,2.5056971610010805
134,134,2.498560374999215,2.4921104320001177
135,135,2.4956704679989343,2.491849206000552
136,136,2.5477012130013463,2.475031243000558
137,137,2.474076888000127,2.5296096410002065
138,138,2.4601283890006016,2.464057577000858
139,139,2.443760564998229,2.4554346170007193
140,140,2.430608640999708,2.437962095998955
141,141,2.4308291230008763,2.428081476000443
142,142,2.4159587680005643,2.4304380849989684
143,143,2.402568560999498,2.4040101770006004
144,144,2.39276500699998,2.398870094999438
Total,All,448.5209266639995,447.66157505699994
