Step,Heads Pruned,Time_Static_Taylor_sec,Time_Static_AttAttr_sec
1,1,0.27435236899873416,0.2802370580011484
2,2,0.28395744799854583,0.2782476489992405
3,3,0.33592853099980857,0.2823430600001302
4,4,0.29839956400064693,0.2870849359987915
5,5,0.2947095170002285,0.29027466700063087
6,6,0.30700878700008616,0.2958355959999608
7,7,0.30391799100107164,0.29134742399946845
8,8,0.3010274329990352,0.298087437000504
9,9,0.30865534899930935,0.29680815400024585
10,10,0.3115167539999675,0.3030345410006703
11,11,0.3137300279995543,0.3045110459988791
12,12,0.3129640779989131,0.3090232439990359
13,13,0.3125623639989499,0.30802959999891755
14,14,0.31521660199905455,0.3078676009990886
15,15,0.3177196159995219,0.3067550649993791
16,16,0.3246289960006834,0.30706126199947903
17,17,0.3222925320005743,0.3071103150014096
18,18,0.3209438619996945,0.31242128200028674
19,19,0.32114626099973975,0.30855566500031273
20,20,0.3192293399988557,0.31654185600018536
21,21,0.3159864139997808,0.3239571190006245
22,22,0.3230417449995002,0.3230325670010643
23,23,0.32264065600065805,0.32145676700019976
24,24,0.32222514300156035,0.3278271210001549
25,25,0.3207513659999677,0.3246673660014494
26,26,0.31892543799949635,0.3243532319993392
27,27,0.3162600809992,0.3240317559993855
28,28,0.3156224470003508,0.3232647549993999
29,29,0.3161307289992692,0.32379340400075307
30,30,0.31726379900101165,0.3234124860009615
31,31,0.3130135529991094,0.31970056899990595
32,32,0.31177845999991405,0.31436975599899597
33,33,0.30980653099868505,0.3166032780009118
34,34,0.3092810489997646,0.3162913109990768
35,35,0.30336511099994823,0.31571166699905007
36,36,0.30407735299922933,0.3135292599999957
37,37,0.3045059929991112,0.31110175699905085
38,38,0.30364103200008685,0.30903608799962967
39,39,0.30252447400016536,0.30746964500031027
40,40,0.30325218199868686,0.31004981699879863
41,41,0.30301655499897606,0.30720098500023596
42,42,0.29903358699993987,0.30953886300085287
43,43,0.30175824200159695,0.30995858700043755
44,44,0.29796965999958047,0.30372249300125986
45,45,0.29258840900001815,0.31347204400117334
46,46,0.2952089599984902,0.311369511000521
47,47,0.29493617700063623,0.3089290890002303
48,48,0.2912134779999178,0.3075584369998978
49,49,0.29143278100127645,0.303301599000406
50,50,0.2901960910003254,0.30092776200035587
51,51,0.28991709199908655,0.29925796600036847
52,52,0.2913568940002733,0.30174703400007274
53,53,0.28589142900091247,0.30126649600060773
54,54,0.2869028019995312,0.29845556399959605
55,55,0.28672508300041954,0.29769547800060536
56,56,0.28241499300020223,0.2964840139993612
57,57,0.293882117000976,0.29427149100047245
58,58,0.2897670680013107,0.2949367080000229
59,59,0.29249514500043006,0.2948326300011104
60,60,0.28814497999883315,0.2902903989997867
61,61,0.28441035200012266,0.29537620799965225
62,62,0.2824048860002222,0.28953454499969666
63,63,0.28600025800005824,0.292915455000184
64,64,0.2859264530015935,0.2953525510001782
65,65,0.2819880769984593,0.28885297299893864
66,66,0.35552509399894916,0.36929300199881254
67,67,0.2810312839992548,0.286099134998949
68,68,0.2805756609996024,0.2836320259993954
69,69,0.28693654400012747,0.2845812410014332
70,70,0.2862336239995784,0.2822398640000756
71,71,0.2854618189994653,0.2812494199988578
72,72,0.2823487109999405,0.2765032829993288
73,73,0.28326384899992263,0.2764297739995527
74,74,0.28089020700099354,0.27841922599873214
75,75,0.28067209599976195,0.2756132209997304
76,76,0.28248953399997845,0.27429820700126584
77,77,0.2775413990002562,0.2726583399999072
78,78,0.2738429900000483,0.27205981599945517
79,79,0.2744787709998491,0.27251310799874773
80,80,0.27557131800131174,0.26904121799998393
81,81,0.2679078749988548,0.2667464160003874
82,82,0.26852038399920275,0.26653184999850055
83,83,0.2679973169997538,0.2648788769984094
84,84,0.2683307999996032,0.261821639000118
85,85,0.26746219800043036,0.26098452900077973
86,86,0.26687601300000097,0.2594802610001352
87,87,0.26892597200094315,0.2588231099998666
88,88,0.26419761599936464,0.2618404909990204
89,89,0.25998510099998384,0.25830238399976224
90,90,0.2554930220012466,0.25881931699950655
91,91,0.2579449940003542,0.25706196399914916
92,92,0.2574837079991994,0.25548194099974353
93,93,0.25815745699947,0.2567799950011249
94,94,0.25665310000113095,0.2549150399991049
95,95,0.25089727499835135,0.252049046999673
96,96,0.25311061600041285,0.2512301340011618
97,97,0.25047217100109265,0.2482829810014664
98,98,0.2523881679990154,0.24857987600080378
99,99,0.24798938499952783,0.24464663899925654
100,100,0.24442573600026662,0.24382981099915924
