Step,Heads Pruned,Time_Static_Taylor_sec,Time_Static_AttAttr_sec
1,1,6.969938021997223,6.912522276001255
2,2,6.976628738000727,6.906959173000359
3,3,6.95521388799898,6.892961239002034
4,4,6.960078134001378,6.873061901998881
5,5,6.943359061002411,6.860328974998993
6,6,6.926508537999325,6.829593122998631
7,7,6.929242738999164,6.795169484001235
8,8,6.905723735999345,6.803322867999668
9,9,6.890899927002465,6.808805074000702
10,10,6.966505340998992,6.95106920499893
11,11,6.860169241997937,6.779236383998068
12,12,6.868830124996748,6.774551328999223
13,13,6.850522020002245,6.756997065000178
14,14,6.834709980998014,6.732899939001072
15,15,6.81709029600097,6.717817297998408
16,16,6.833502170000429,6.7099668420014495
17,17,6.795518730999902,6.690709728001821
18,18,6.780967709000834,6.687308786000358
19,19,6.760383818000264,6.681472463998944
20,20,6.83261932700043,6.6569046120021085
21,21,6.73864855300053,6.736331823001819
22,22,6.714337540000997,6.62896120699952
23,23,6.690569649999816,6.605230044999189
24,24,6.675108335999539,6.621766876000038
25,25,6.668637801001751,6.59525678999853
26,26,6.648159502001363,6.591462796000997
27,27,6.608229037003184,6.5642166520010505
28,28,6.561513835000369,6.5612316870028735
29,29,6.534281992000615,6.512162991999503
30,30,6.508177417999832,6.5071522039979754
31,31,6.567514004000259,6.563655205998657
32,32,6.4312750509998295,6.468494273998658
33,33,6.444133314998908,6.455510169998888
34,34,6.419018577002134,6.454065657999308
35,35,6.402768410000135,6.44251947399971
36,36,6.400988826000685,6.383271396000055
37,37,6.428468678001082,6.352091941000253
38,38,6.372946144001617,6.316708353002468
39,39,6.357857541999692,6.332113936998212
40,40,6.356751628998609,6.323118161999446
41,41,6.434907794002356,6.414843157999712
42,42,6.30429410600118,6.322942233000504
43,43,6.264485579002212,6.381308588999673
44,44,6.274792575997708,6.336918878998404
45,45,6.243489862001297,6.315443392002635
46,46,6.2390437009999005,6.269101161000435
47,47,6.215169410999806,6.248689435000415
48,48,6.1997123939981975,6.195692060999136
49,49,6.170419170000969,6.196722538999893
50,50,6.172892966998916,6.216218370002025
51,51,6.223359434003214,6.2443990249994386
52,52,6.3137111389987695,6.209648362000735
53,53,6.169566919998033,6.197439326999302
54,54,6.12147553700197,6.170268653000676
55,55,6.066426481000235,6.172449883000809
56,56,6.050469920002797,6.083784949998517
57,57,6.066042605998518,6.081114590000652
58,58,6.014757414999622,6.104648942000495
59,59,5.9655534960002115,6.046345602997462
60,60,5.969550949997938,5.99705406999783
61,61,5.970972232000349,5.977436207998835
62,62,6.022647683999821,6.049748166999052
63,63,5.929332062001777,5.938340508000692
64,64,5.918115476997627,5.922042565001902
65,65,5.908353859998897,5.9026048369996715
66,66,5.8664044860015565,5.910650155998155
67,67,5.8516071409976576,5.8648541789989395
68,68,5.790199089999078,5.868451494003239
69,69,5.783213180002349,5.827047539998603
70,70,5.799598730998696,5.8020354000000225
71,71,5.779351176999626,5.7723593580012675
72,72,5.840880458999891,5.851786078001169
73,73,5.749775545999,5.786136927999905
74,74,5.712181603001227,5.746439049999026
75,75,5.680372310001985,5.726617176002037
76,76,5.748604633998184,5.712996556001599
77,77,5.765222994999931,5.693946281000535
78,78,5.731099050997727,5.676400355001533
79,79,5.642510169000161,5.644107412001176
80,80,5.620541054002388,5.652906750001421
81,81,5.609749193998141,5.6076599810003245
82,82,5.672649303000071,5.697603855001944
83,83,5.580426467000507,5.567169954996643
84,84,5.547256155001378,5.5645654760010075
85,85,5.540773905002425,5.5329414650004765
86,86,5.5194517340023594,5.536671686997579
87,87,5.487081739000132,5.512319610999839
88,88,5.47946113999933,5.486545292998926
89,89,5.457477659998403,5.44570990200009
90,90,5.4539629819992115,5.433099409998249
91,91,5.425585523000336,5.436699214998953
92,92,5.466872738998063,5.499004151002737
93,93,5.38134595199881,5.405457505999948
94,94,5.365640904001339,5.38323982500151
95,95,5.3281980930005375,5.37311535399931
96,96,5.33425629499834,5.34328589299912
97,97,5.312599266999314,5.362723277001351
98,98,5.292891081000562,5.299032489998353
99,99,5.2801894930016715,5.29940671499935
100,100,5.261591583999689,5.263072967998596
101,101,5.2333422360025,5.2551907830020355
102,102,5.2205833769985475,5.329070320000028
103,103,5.279773014997772,5.232885573997919
104,104,5.198980109998956,5.209934260998125
105,105,5.19311974700031,5.178005461999419
106,106,5.178976265000529,5.152974467000604
107,107,5.160378861000936,5.141524684000615
108,108,5.2138238530023955,5.156911979000142
109,109,5.159001936997811,5.068685206002556
110,110,5.120457189997978,5.058237881999958
111,111,5.116801041000144,5.059316660997865
112,112,5.101375991998793,5.119712010000512
113,113,5.212256797000009,5.012322288999712
114,114,5.0579820400016615,5.018016197001998
115,115,5.038646385997708,4.97783909699865
116,116,5.017109131000325,4.972137124001165
117,117,4.990480894000939,4.908759590001864
